c	city
27670	London
4431	Boston
2591	Dublin
2293	New York
1928	Edinburgh
1583	Philadelphia
669	Oxford
630	Glasgow
435	S.l
403	Cambridge
371	Albany N.Y
317	Hartford
281	Washington D.C
261	Providence R.I
234	Salem Mass
220	Washington, D.C
217	Washington
202	Cincinnati
198	Portland Me
188	Lowell Mass
177	London i.e. Paris
176	Worcester Mass
175	Roxbury Mass
171	Baltimore Md
165	New Haven
160	Albany
156	London printed
150	Cambridge Mass
132	Paris
109	Ohio
105	Amsterdam
104	York
99	Newburyport Mass
97	Concord N.H
97	Cork
96	Aberdeen
94	New-Haven
93	Norwich
92	Charlestown Mass
92	Columbus
91	Edinburgi
89	Lynn Mass
86	U.S
85	Manchester
84	Baltimore
83	Belfast
82	Augusta Me
82	Chicago Ill
78	Bristol
71	Bath
71	Newcastle upon Tyne
70	Boston, N.E
70	San Francisco
66	Harrisburg Pa
66	Worcester
61	Providence
58	Newcastle
57	Boston in N.E
57	New-Bedford Mass
57	Sherborne Dorset
55	Boston Mass
55	Glasguae
54	Boston, New-England
53	Bangor Me
53	Northampton Mass
52	New-London
51	Falkirk
51	Fitchburg Mass
51	Lawrence Mass
51	New Bedford Mass
51	Springfield Mass
50	Coventry
49	Birmingham
48	Manchester, N.H
48	Salem
47	Groton Mass
47	Indianapolis Ind
47	Portsmouth N.H
46	Boston N.E
46	Boston in New-England
44	Hallowell Me
44	Perth
43	Charleston S.C
42	Concord, N.H
42	Londres
42	Saint Paul Minn
41	Burlington Vt
41	Columbia, S.C
40	Brooklyn N.Y
40	Concord Mass
40	Liverpool
40	Londra
40	Portland
40	St. Louis Mo
39	Dublinii
38	Charleston
37	Salisbury
37	Shrewsbury
36	Nashua N.H
36	St. Louis, Mo
35	Londres i.e. Paris
35	Louisville Ky
35	North Brookfield Mass
34	Brunswick Me
34	Des Moines Iowa
34	Saint-Omer
33	Charlestown, Mass
33	Oxonii
32	Chicago, Ill
31	Fall River Mass
31	Lansing Mich
31	St. Paul Minn
31	Worcester, Massachusetts
30	Leeds
30	Tallahassee Fla
29	Albany, N.Y
29	Concord
29	Frankfort, Ky
28	Andover Mass
28	Nürnberg
27	New London
26	Chelsea Mass
26	Newport, R.I
25	Berwick
25	Buffalo N.Y
25	Chester
24	Northampton
23	Beloit Wis
23	Springfield, Mass
22	Exon
22	In the Savoy i.e. London
22	Lewiston Me
22	Newry
22	Richmond Va
21	Charleston, S.C
21	Concord, Mass
21	Exeter
21	In the Savoy
21	Middletown
21	N. London i.e., New London
21	New York, N.Y
21	Nottingham
21	Roxbury, Mass
21	Toronto
20	Cleveland
20	Corke
20	In the Savoy London
20	Minneapolis Minn
20	Oxford Oxfordshire
20	Plymouth Mass
20	Preston
20	Providence, R.I
20	Taunton Mass
19	Augusta
19	Clinton, Mass
19	Madison, Wis
19	Milford Mass
19	Pittsburgh Pa
18	Buffalo
18	Germantown Pa
18	Middletown, N.Y
18	Newark
18	Peoria Ill
18	West Brookfield Mass
17	Cambridge, Mass
17	Leipzig
17	Montreal
17	Newport R.I
