year	pages	words
	1	707
1715	52	6695
1743	356	69063
1751	264	72295
1784	45	7335
1751	8	1004
	1	609
1769	19	2592
	1	1846
1778	25	3046
1757	24	4143
1797	293	87383
1751	274	75220
1771	28	4043
1781	20	4203
1716	8	1016
1794	43	5606
1784	13	1180
1736	424	64133
1751	245	63018
	248	166617
1756	95	7674
1751	303	84587
1795	32	4537
1777	11	1234
1752	43	6056
1752	52	15848
1794	20	1893
	151	23682
1769	273	81816
1772	97	22630
1769	319	91861
1738	66	11769
1780	44	4571
	29	7131
1798	231	31563
1764	85	17919
1769	258	34148
1769	259	36931
	24	6453
1772	105	21794
1771	102	23325
1791	37	5179
1770	20	3165
1752	230	48552
1752	339	85041
1752	259	59201
	3	453
1762	14	3614
	47	7785
1749	23	3742
1792	27	2466
1797	281	36244
1797	48	7539
1797	354	51360
1767	72	6831
1735	24	3455
1799	186	26012
1721	122	16065
1785	72	14849
1795	50	12886
	13	1165
1781	128	24748
	20	3233
1786	43	5050
1788	44	4793
1701	67	24125
1799	64	10404
1783	75	21993
1730	11	1433
	16	2183
1746	8	708
1792	11	864
	33	9101
1749	15	2452
1743	20	2162
1796	50	7463
	40	16231
1798	73	14953
	96	25724
1720	290	32339
1800	20	1920
1792	76	22448
1731	67	14034
1797	281	58377
1754	12	2562
	1042	361213
	16	8699
1732	15	1689
1787	73	8568
1720	53	6129
	1	679
1718	34	7203
1786	78	8211
	1	1443
1765	79	16164
	341	84702
1787	75	8749
1739	32	5424
1743	352	66310
	554	94570
1800	296	91634
1760	19	3049
1724	169	37481
1800	280	105058
1735	287	69278
1795	371	110179
1795	373	116842
1726	2	1475
1778	30	4211
1775	11	1040
1797	291	88552
1795	352	108009
1791	98	22800
	347	99540
1731	52	8090
1763	26	3372
1787	20	2200
1753	63	6283
	75	8774
1747	257	93809
1766	768	260846
1747	265	94782
1749	18	5889
	1	565
1780	207	26626
1789	29	3126
1780	163	18354
1762	321	46227
1780	197	24512
1793	237	40579
1762	317	51709
1780	148	16630
1747	265	97880
1770	248	53235
1762	317	55306
1735	27	3695
1773	22	2366
1735	31	4435
1727	19	3007
1747	273	95657
	140	52940
1780	25	1970
1735	96	30470
1779	50	5298
1769	18	3253
1715	35	5099
1740	337	86564
1740	304	82176
1792	286	40534
	407	311242
1753	923	234883
	15	1562
1753	32	6481
1743	97	8986
1739	40	5803
1736	68	19051
	36	7630
1753	70	19873
1771	72	23244
1740	314	84635
1766	84	24695
	4	1078
1712	361	52854
1775	50	17486
1757	2	916
1800	64	15073
1757	8	1306
	291	48648
1794	61	11874
1767	230	53253
1787	122	22222
1764	207	25160
1781	261	44898
1781	272	48237
1781	276	48489
	1	117
	1	210
	1	171
	2	241
	1	581
	1	214
	2	757
	2	338
	1	188
	1	318
	1	352
	1	599
	1	277
	1	1342
	1	324
	1	289
	1	617
	1	389
	1	194
	1	302
	1	896
	1	369
	1	1089
	1	1318
	1	265
	1	508
	1	572
	1	524
	1	494
	1	373
	1	1263
	2	2136
	2	2221
	1	381
	1	458
	2	1488
	1	1382
	2	1621
	1	1251
	2	986
	2	1810
	2	1078
	2	735
	1	1232
	2	1309
	2	1636
	1	1375
	1	865
	2	1064
	2	1497
	2	1853
	1	571
1772	8	1098
1792	48	7476
	40	9041
	1	196
	1	186
1721	19	4000
	1	496
1734	56	11213
1767	86	13812
	8	1386
1789	16	1173
1712	16	3590
	77	14241
	24	6757
1774	185	30872
	59	17350
1790	106	22398
1744	16	2138
	8	1895
	4	866
	12	2707
1719	104	23844
1793	96	17997
1798	383	104282
1784	228	47518
1797	179	33989
1744	96	17579
1790	150	20284
1793	198	30644
1769	70	18773
	32	4364
1767	268	56991
1749	353	70624
1737	489	134939
1721	314	74404
1746	476	112848
1770	137	26925
1770	105	19031
1770	138	26671
1733	381	88468
1770	122	21946
1752	364	108561
